"main", "42", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:46", "Field Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, rotatableFigures=java.util.ArrayList (id=45)"
"main", "43", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:47", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=47"
"main", "44", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:47", "Field Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, scalableFigures=java.util.ArrayList (id=46)"
"main", "45", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:48", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=48"
"main", "46", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:48", "Method Exit", " returner=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, value=<void>"
"main", "47", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Method Returned", " "
"main", "48", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=26"
"main", "49", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Variable Write", " context=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1, figureHandlerImpl=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1"
"main", "50", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:27", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=27"
"main", "51", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:27", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, XCOORDS"
"main", "52", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:27", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, YCOORDS"
"main", "53", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:27", "Method Call", " caller=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1, target=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1"
"main", "54", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:89", "Method Entered", " "
"main", "55", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:89", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, y=2.0"
"main", "56", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:89", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, x=-2.0"
"main", "57", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=91"
"main", "58", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.simplefigure.SimpleFigure"
"main", "59", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.simplefigure.Point"
"main", "60", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.Vertex2D"
